LegislatorFirstName,LegislatorLastName,Chamber,CapitolPhone,Email,DistrictPhone
Alma,Allen,State House,(512) 463-0744,Alma.Allen@house.state.tx.us,
Roberto,Alonzo,State House,(512) 463-0408,Roberto.Alonzo@house.state.tx.us,
Carol,Alvarado,State House,(512) 463-0732,Carol.Alvarado@house.state.tx.us,
Rafael,Anchia,State House,(512) 463-0746,Rafael.Anchia@house.state.tx.us,
Charles,Anderson,State House,(512) 463-0135,Charles.Anderson@house.state.tx.us,
Rodney,Anderson,State House,(512) 463-0641,Rodney.Anderson@house.state.tx.us,
Trent,Ashby,State House,(512) 463-0508,Trent.Ashby@house.state.tx.us,
Jimmie Don,Aycock,State House,(512) 463-0684,jimmie.aycock@house.state.tx.us,
Cecil,Bell,State House,(512) 463-0650,Cecil.Bell@house.state.tx.us,
Diego,Bernal,State House,(512) 463-0532,Diego.Bernal@house.state.tx.us,
César,Blanco,State House,(512) 463-0622,Cesar.Blanco@house.state.tx.us,
Dwayne,Bohac,State House,(512) 463-0727,Dwayne.Bohac@house.state.tx.us,
Dennis,Bonnen,State House,(512) 463-0564,Dennis.Bonnen@house.state.tx.us,
Greg,Bonnen,State House,(512) 463-0729,Greg.Bonnen@house.state.tx.us,
Cindy,Burkett,State House,(512) 463-0464,Cindy.Burkett@house.state.tx.us,
DeWayne,Burns,State House,(512) 463-0538,DeWayne.Burns@house.state.tx.us,
Dustin,Burrows,State House,(512) 463-0542,Dustin.Burrows@house.state.tx.us,
Angie,Button,State House,(512) 463-0486,Angie.Button@house.state.tx.us,
Terry,Canales,State House,(512) 463-0426,Terry.Canales@house.state.tx.us,
Giovanni,Capriglione,State House,(512) 463-0690,Giovanni.Capriglione@house.state.tx.us,
Travis,Clardy,State House,(512) 463-0592,Travis.Clardy@house.state.tx.us,
Garnet,Coleman,State House,(512) 463-0524,Garnet.Coleman@house.state.tx.us,
Nicole,Collier,State House,(512) 463-0716,Nicole.Collier@house.state.tx.us,
Byron,Cook,State House,(512) 463-0730,Byron.Cook@house.state.tx.us,
Tom,Craddick,State House,(512) 463-0500,Tom.Craddick@house.state.tx.us,
Myra,Crownover,State House,(512) 463-0582,Myra.Crownover@house.state.tx.us,
John,Cyrier,State House,(512) 463-0682,John.Cyrier@house.state.tx.us,
Tony,Dale,State House,(512) 463-0696,Tony.Dale@house.state.tx.us,
Drew,Darby,State House,(512) 463-0331,Drew.Darby@house.state.tx.us,
Sarah,Davis,State House,(512) 463-0389,Sarah.Davis@house.state.tx.us,
Yvonne,Davis,State House,(512) 463-0598,Yvonne.Davis@house.state.tx.us,
Joe,Deshotel,State House,(512) 463-0662,Joe.Deshotel@house.state.tx.us,
Dawnna,Dukes,State House,(512) 463-0506,Dawnna.Dukes@house.state.tx.us,
Harold,Dutton,State House,(512) 463-0510,Harold.Dutton@house.state.tx.us,
Gary,Elkins,State House,(512) 463-0722,Gary.Elkins@house.state.tx.us,
Wayne,Faircloth,State House,(512) 463-0502,Wayne.Faircloth@house.state.tx.us,
Pat,Fallon,State House,(512) 463-0694,Pat.Fallon@house.state.tx.us,
Joe,Farias,State House,(512) 463-0714,Joe.Farias@house.state.tx.us,
Marsha,Farney,State House,(512) 463-0309,Marsha.Farney@house.state.tx.us,
Jessica,Farrar,State House,(512) 463-0620,Jessica.Farrar@house.state.tx.us,
Allen,Fletcher,State House,(512) 463-0661,Allen.Fletcher@house.state.tx.us,
Dan,Flynn,State House,(512) 463-0880,Dan.Flynn@house.state.tx.us,
James,Frank,State House,(512) 463-0534,James.Frank@house.state.tx.us,
John,Frullo,State House,(512) 463-0676,John.Frullo@house.state.tx.us,
Rick,Galindo,State House,(512) 463-0269,Rick.Galindo@house.state.tx.us,
Charlie,Geren,State House,(512) 463-0610,Charlie.Geren@house.state.tx.us,
Helen,Giddings,State House,(512) 463-0953,Helen.Giddings@house.state.tx.us,
Craig,Goldman,State House,(512) 463-0608,Craig.Goldman@house.state.tx.us,
Larry,Gonzales,State House,(512) 463-0670,Larry.Gonzales@house.state.tx.us,
Mary,González,State House,(512) 463-0613,Mary.Gonzalez@house.state.tx.us,
Bobby,Guerra,State House,(512) 463-0578,Bobby.Guerra@house.state.tx.us,
Ryan,Guillen,State House,(512) 463-0416,Ryan.Guillen@house.state.tx.us,
Roland,Gutierrez,State House,(512) 463-0452,Roland.Gutierrez@house.state.tx.us,
Patricia,Harless,State House,(512) 463-0496,Patricia.Harless@house.state.tx.us,
Ana,Hernandez,State House,(512) 463-0614,Ana.Hernandez@house.state.tx.us,
Abel,Herrero,State House,(512) 463-0462,Abel.Herrero@house.state.tx.us,
Donna,Howard,State House,(512) 463-0631,Donna.Howard@house.state.tx.us,
Dan,Huberty,State House,(512) 463-0520,Dan.Huberty@house.state.tx.us,
Bryan,Hughes,State House,(512) 463-0271,Bryan.Hughes@house.state.tx.us,
Todd,Hunter,State House,(512) 463-0672,Todd.Hunter@house.state.tx.us,
Jason,Isaac,State House,(512) 463-0647,Jason.Isaac@house.state.tx.us,
